I_MA,tr_ns,liner_r_cm,foam_r_cm,m_mg_per_cm,E_MJ_per_cm,v_cm_per_s
52.5,575,7,0.6,15.85,6.3597,-89581000
52.5,575,7,0.7,16.25,5.9454,-85542000
52.5,575,7,0.8,16.5,5.5873,-82295000
52.5,600,4,0.5,56.1,5.3475,-43662000
52.5,600,4,0.6,58.5,4.861,-40766000
52.5,600,4,0.7,60.55,4.4513,-38344000
52.5,600,4,0.8,62.7,4.0978,-36154000
52.5,600,5,0.5,34.7,5.9446,-58535000
52.5,600,5,0.6,35.65,5.456,-55325000
52.5,600,5,0.7,36.75,5.0442,-52394000
52.5,600,5,0.8,38.1,4.6887,-49611000
52.5,600,6,0.5,23.3,6.4343,-74317000
52.5,600,6,0.6,23.95,5.9442,-70455000
52.5,600,6,0.7,24.75,5.531,-66855000
52.5,600,6,0.8,25.4,5.1741,-63828000
52.5,600,7,0.5,16.8,6.8511,-90311000
52.5,600,7,0.6,17.3,6.3599,-85747000
52.5,600,7,0.7,17.6,5.9456,-82197000
52.5,600,7,0.8,18.05,5.5875,-78684000
55,150,4,0.5,3.9,5.866,-173440000
55,150,4,0.6,4,5.3325,-163290000
55,150,4,0.7,4.15,4.8823,-153390000
55,150,4,0.8,4.3,4.4947,-144590000
55,150,5,0.5,2.4,6.5207,-233110000
55,150,5,0.6,2.45,5.9859,-221050000
55,150,5,0.7,2.55,5.5336,-208330000
55,150,5,0.8,2.6,5.1437,-198910000
55,150,6,0.5,1.6,7.0585,-297040000
55,150,6,0.6,1.65,6.5213,-281150000
55,150,6,0.7,1.7,6.0681,-267190000
55,150,6,0.8,1.75,5.6764,-254700000
55,150,7,0.5,1.15,7.5155,-361530000
55,150,7,0.6,1.2,6.9759,-340980000
55,150,7,0.7,1.2,6.5218,-329690000
55,150,7,0.8,1.25,6.1294,-313160000
55,175,4,0.5,5.25,5.8661,-149490000
55,175,4,0.6,5.45,5.3326,-139890000
55,175,4,0.7,5.75,4.8828,-130320000
55,175,4,0.8,5.9,4.495,-123440000
55,175,5,0.5,3.2,6.5217,-201890000
55,175,5,0.6,3.35,5.986,-189040000
55,175,5,0.7,3.45,5.534,-179110000
55,175,5,0.8,3.55,5.1437,-170230000
55,175,6,0.5,2.2,7.0585,-253320000
55,175,6,0.6,2.25,6.522,-240780000
55,175,6,0.7,2.3,6.0684,-229710000
55,175,6,0.8,2.35,5.6768,-219800000
55,175,7,0.5,1.55,7.5144,-311380000
55,175,7,0.6,1.6,6.9765,-295310000
55,175,7,0.7,1.65,6.5218,-281160000
55,175,7,0.8,1.7,6.1287,-268520000
55,200,4,0.5,6.85,5.8664,-130870000
55,200,4,0.6,7.1,5.3325,-122560000
55,200,4,0.7,7.4,4.8832,-114880000
55,200,4,0.8,7.7,4.4951,-108050000
55,200,5,0.5,4.25,6.5217,-175190000
55,200,5,0.6,4.4,5.9861,-164950000
55,200,5,0.7,4.5,5.5343,-156830000
55,200,5,0.8,4.6,5.144,-149550000
55,200,6,0.5,2.9,7.0593,-220650000
55,200,6,0.6,2.95,6.5221,-210280000
55,200,6,0.7,3,6.0682,-201130000
55,200,6,0.8,3.1,5.6771,-191380000
55,200,7,0.5,2.05,7.515,-270770000
55,200,7,0.6,2.15,6.9765,-254750000
55,200,7,0.7,2.15,6.5218,-246310000
55,200,7,0.8,2.2,6.1295,-236060000
55,225,4,0.5,8.7,5.8667,-116130000
55,225,4,0.6,8.95,5.3328,-109160000
55,225,4,0.7,9.3,4.8832,-102480000
55,225,4,0.8,9.75,4.4953,-96027000
55,225,5,0.5,5.4,6.5222,-155420000
55,225,5,0.6,5.5,5.9862,-147540000
55,225,5,0.7,5.7,5.5345,-139350000
55,225,5,0.8,5.8,5.1441,-133190000
55,225,6,0.5,3.65,7.0596,-196680000
55,225,6,0.6,3.7,6.5222,-187760000
55,225,6,0.7,3.8,6.0685,-178720000
55,225,6,0.8,3.9,5.6771,-170630000
55,225,7,0.5,2.65,7.516,-238170000
55,225,7,0.6,2.65,6.9773,-229470000
55,225,7,0.7,2.75,6.5227,-217800000
55,225,7,0.8,2.8,6.1293,-209240000
55,250,4,0.5,10.7,5.8669,-104720000
55,250,4,0.6,11.15,5.3331,-97806000
55,250,4,0.7,11.55,4.8835,-91958000
55,250,4,0.8,12.05,4.4954,-86379000
55,250,5,0.5,6.6,6.5227,-140590000
55,250,5,0.6,6.8,5.9863,-132690000
55,250,5,0.7,7.05,5.5345,-125300000
55,250,5,0.8,7.2,5.1443,-119540000
55,250,6,0.5,4.45,7.0599,-178130000
55,250,6,0.6,4.6,6.5224,-168400000
55,250,6,0.7,4.75,6.069,-159850000
55,250,6,0.8,4.85,5.677,-153000000
55,250,7,0.5,3.2,7.5166,-216750000
55,250,7,0.6,3.25,6.977,-207210000
55,250,7,0.7,3.4,6.5229,-195880000
55,250,7,0.8,3.45,6.1297,-188510000
55,275,4,0.5,13.05,5.867,-94824000
55,275,4,0.6,13.45,5.333,-89051000
55,275,4,0.7,13.95,4.8836,-83675000
55,275,4,0.8,14.65,4.4955,-78341000
55,275,5,0.5,7.95,6.5225,-128100000
55,275,5,0.6,8.3,5.9866,-120110000
55,275,5,0.7,8.5,5.5346,-114120000
55,275,5,0.8,8.8,5.1445,-108130000
55,275,6,0.5,5.4,7.0604,-161710000
55,275,6,0.6,5.5,6.5225,-154010000
55,275,6,0.7,5.75,6.0689,-145290000
55,275,6,0.8,5.85,5.6772,-139320000
55,275,7,0.5,3.95,7.5164,-195080000
55,275,7,0.6,4,6.9778,-186790000
55,275,7,0.7,4.05,6.523,-179480000
55,275,7,0.8,4.15,6.13,-171880000
55,300,4,0.5,15.45,5.8671,-87149000
55,300,4,0.6,16,5.3333,-81650000
55,300,4,0.7,16.7,4.8838,-76478000
55,300,4,0.8,17.2,4.4957,-72302000
55,300,5,0.5,9.5,6.5229,-117190000
55,300,5,0.6,9.85,5.9867,-110250000
55,300,5,0.7,10.1,5.5348,-104690000
55,300,5,0.8,10.4,5.1445,-99465000
55,300,6,0.5,6.45,7.0604,-147960000
55,300,6,0.6,6.65,6.5227,-140060000
55,300,6,0.7,6.75,6.0692,-134100000
55,300,6,0.8,7,5.6775,-127360000
55,300,7,0.5,4.7,7.5163,-178840000
55,300,7,0.6,4.75,6.9776,-171400000
55,300,7,0.7,4.9,6.5233,-163170000
55,300,7,0.8,4.95,6.1303,-157380000
55,325,4,0.5,18.25,5.8673,-80187000
55,325,4,0.6,18.8,5.3334,-75325000
55,325,4,0.7,19.7,4.8838,-70414000
55,325,4,0.8,20.2,4.4959,-66718000
55,325,5,0.5,11.15,6.5231,-108170000
55,325,5,0.6,11.5,5.9868,-102040000
55,325,5,0.7,11.85,5.5349,-96652000
55,325,5,0.8,12.2,5.1447,-91836000
55,325,6,0.5,7.5,7.0606,-137220000
55,325,6,0.6,7.75,6.5228,-129740000
55,325,6,0.7,8.05,6.0691,-122790000
55,325,6,0.8,8.2,5.6775,-117680000
55,325,7,0.5,5.4,7.5172,-166860000
55,325,7,0.6,5.6,6.9782,-157870000
55,325,7,0.7,5.75,6.5232,-150630000
55,325,7,0.8,5.8,6.1306,-145400000
55,350,4,0.5,21,5.8675,-74754000
55,350,4,0.6,21.9,5.3336,-69791000
55,350,4,0.7,22.65,4.884,-65670000
55,350,4,0.8,23.55,4.496,-61792000
55,350,5,0.5,12.95,6.5232,-100370000
55,350,5,0.6,13.25,5.9868,-95061000
55,350,5,0.7,13.9,5.5349,-89241000
55,350,5,0.8,14.25,5.1447,-84974000
55,350,6,0.5,8.75,7.0606,-127040000
55,350,6,0.6,8.95,6.5227,-120730000
55,350,6,0.7,9.3,6.0694,-114250000
55,350,6,0.8,9.45,5.6777,-109620000
55,350,7,0.5,6.3,7.5174,-154480000
55,350,7,0.6,6.45,6.9782,-147100000
55,350,7,0.7,6.6,6.5237,-140600000
55,350,7,0.8,6.75,6.1307,-134780000
55,375,4,0.5,24.2,5.8676,-69637000
55,375,4,0.6,25.05,5.3337,-65257000
55,375,4,0.7,26.1,4.8841,-61177000
55,375,4,0.8,27.05,4.4961,-57657000
55,375,5,0.5,14.95,6.5231,-93416000
55,375,5,0.6,15.3,5.987,-88465000
55,375,5,0.7,15.95,5.5351,-83310000
55,375,5,0.8,16.25,5.1449,-79575000
55,375,6,0.5,10,7.0607,-118830000
55,375,6,0.6,10.35,6.523,-112270000
55,375,6,0.7,10.65,6.0695,-106760000
55,375,6,0.8,10.9,5.6778,-102070000
55,375,7,0.5,7.25,7.5174,-144010000
55,375,7,0.6,7.4,6.9782,-137330000
55,375,7,0.7,7.6,6.5239,-131030000
55,375,7,0.8,7.75,6.1309,-125780000
55,400,4,0.5,27.5,5.8678,-65326000
55,400,4,0.6,28.4,5.3338,-61288000
55,400,4,0.7,29.5,4.8842,-57544000
55,400,4,0.8,30.75,4.4962,-54077000
55,400,5,0.5,16.9,6.5234,-87864000
55,400,5,0.6,17.5,5.9872,-82720000
55,400,5,0.7,17.9,5.5352,-78642000
55,400,5,0.8,18.5,5.145,-74580000
55,400,6,0.5,11.35,7.0609,-111540000
55,400,6,0.6,11.65,6.5229,-105820000
55,400,6,0.7,12,6.0695,-100580000
55,400,6,0.8,12.45,5.6778,-95504000
55,400,7,0.5,8.25,7.5177,-135000000
55,400,7,0.6,8.45,6.9786,-128520000
55,400,7,0.7,8.7,6.5239,-122460000
55,400,7,0.8,8.85,6.131,-117710000
55,425,4,0.5,31.2,5.8679,-61331000
55,425,4,0.6,32.3,5.334,-57470000
55,425,4,0.7,33.4,4.8844,-54081000
55,425,4,0.8,34.55,4.4963,-51018000
55,425,5,0.5,19.25,6.5233,-82325000
55,425,5,0.6,19.65,5.9872,-78063000
55,425,5,0.7,20.35,5.5354,-73758000
55,425,5,0.8,20.9,5.1451,-70168000
55,425,6,0.5,12.95,7.0611,-104430000
55,425,6,0.6,13.35,6.5231,-98856000
55,425,6,0.7,13.6,6.0697,-94477000
55,425,6,0.8,14,5.6779,-90063000
55,425,7,0.5,9.35,7.5178,-126810000
55,425,7,0.6,9.55,6.9786,-120890000
55,425,7,0.7,9.75,6.5242,-115680000
55,425,7,0.8,9.95,6.1313,-111010000
55,450,4,0.5,34.75,5.868,-58114000
55,450,4,0.6,36.25,5.3341,-54249000
55,450,4,0.7,37.45,4.8845,-51074000
55,450,4,0.8,38.9,4.4965,-48082000
55,450,5,0.5,21.25,6.5235,-78357000
55,450,5,0.6,21.95,5.9874,-73861000
55,450,5,0.7,22.75,5.5355,-69759000
55,450,5,0.8,23.5,5.1453,-66174000
55,450,6,0.5,14.4,7.061,-99030000
55,450,6,0.6,14.9,6.5233,-93574000
55,450,6,0.7,15.3,6.0697,-89075000
55,450,6,0.8,15.6,5.6781,-85320000
55,450,7,0.5,10.4,7.5179,-120240000
55,450,7,0.6,10.65,6.9789,-114480000
55,450,7,0.7,11,6.5242,-108910000
55,450,7,0.8,11.1,6.1315,-105110000
55,475,4,0.5,38.5,5.8681,-55212000
55,475,4,0.6,40,5.3343,-51645000
55,475,4,0.7,41.65,4.8847,-48431000
55,475,4,0.8,43.25,4.4967,-45600000
55,475,5,0.5,23.8,6.5237,-74041000
55,475,5,0.6,24.65,5.9874,-69699000
55,475,5,0.7,25.3,5.5356,-66151000
55,475,5,0.8,26.25,5.1453,-62612000
55,475,6,0.5,16.15,7.0613,-93513000
55,475,6,0.6,16.6,6.5234,-88654000
55,475,6,0.7,17.1,6.0699,-84257000
55,475,6,0.8,17.4,5.6781,-80787000
55,475,7,0.5,11.65,7.5181,-113610000
55,475,7,0.6,11.95,6.9791,-108080000
55,475,7,0.7,12.15,6.5246,-103630000
55,475,7,0.8,12.45,6.1316,-99247000
55,500,4,0.5,42.8,5.8683,-52366000
55,500,4,0.6,44.35,5.3344,-49047000
55,500,4,0.7,46.35,4.8848,-45911000
55,500,4,0.8,48.05,4.4968,-43263000
55,500,5,0.5,26.4,6.5237,-70301000
55,500,5,0.6,27.25,5.9875,-66291000
55,500,5,0.7,28.1,5.5357,-62769000
55,500,5,0.8,28.9,5.1455,-59673000
55,500,6,0.5,17.9,7.0614,-88825000
55,500,6,0.6,18.4,6.5235,-84207000
55,500,6,0.7,18.9,6.07,-80145000
55,500,6,0.8,19.3,5.6782,-76708000
55,500,7,0.5,12.8,7.5185,-108390000
55,500,7,0.6,13.2,6.9792,-102830000
55,500,7,0.7,13.45,6.5247,-98500000
55,500,7,0.8,13.85,6.1318,-94098000
55,525,4,0.5,47,5.8684,-49972000
55,525,4,0.6,49.15,5.3346,-46591000
55,525,4,0.7,50.9,4.8849,-43811000
55,525,4,0.8,53.1,4.4969,-41155000
55,525,5,0.5,29.1,6.5239,-66961000
55,525,5,0.6,30.15,5.9877,-63024000
55,525,5,0.7,31.1,5.5358,-59666000
55,525,5,0.8,32,5.1456,-56710000
55,525,6,0.5,19.8,7.0614,-84456000
55,525,6,0.6,20.3,6.5236,-80170000
55,525,6,0.7,20.85,6.0701,-76306000
55,525,6,0.8,21.4,5.6783,-72848000
55,525,7,0.5,14.1,7.5185,-103270000
55,525,7,0.6,14.55,6.9795,-97948000
55,525,7,0.7,14.95,6.5248,-93428000
55,525,7,0.8,15.2,6.132,-89825000
55,550,4,0.5,52.1,5.8686,-47464000
55,550,4,0.6,53.8,5.3347,-44532000
55,550,4,0.7,56.1,4.8851,-41732000
55,550,4,0.8,58.3,4.497,-39277000
55,550,5,0.5,32,6.5241,-63856000
55,550,5,0.6,33,5.9877,-60241000
55,550,5,0.7,34,5.5359,-57065000
55,550,5,0.8,35.2,5.1456,-54071000
55,550,6,0.5,21.55,7.0615,-80955000
55,550,6,0.6,22.2,6.5236,-76663000
55,550,6,0.7,22.8,6.0702,-72971000
55,550,6,0.8,23.45,5.6784,-69592000
55,550,7,0.5,15.6,7.5187,-98180000
55,550,7,0.6,16,6.9797,-93406000
55,550,7,0.7,16.35,6.5249,-89339000
55,550,7,0.8,16.8,6.1321,-85440000
55,575,4,0.5,56.7,5.8687,-45498000
55,575,4,0.6,58.6,5.3349,-42671000
55,575,4,0.7,61.3,4.8852,-39923000
55,575,4,0.8,63.3,4.4971,-37695000
55,575,5,0.5,35.1,6.5241,-60971000
55,575,5,0.6,36.2,5.9879,-57517000
55,575,5,0.7,37.2,5.536,-54556000
55,575,5,0.8,38.25,5.1458,-51871000
55,575,6,0.5,23.55,7.0615,-77440000
55,575,6,0.6,24.15,6.5237,-73503000
55,575,6,0.7,24.75,6.0702,-70037000
55,575,6,0.8,25.55,5.6785,-66671000
55,575,7,0.5,17.1,7.5189,-93776000
55,575,7,0.7,17.8,6.5251,-85625000
55,575,7,0.8,18.3,6.1322,-81865000
55,600,4,0.5,61.45,5.8689,-43705000
55,600,4,0.6,64.4,5.3349,-40704000
55,600,4,0.7,66.3,4.8853,-38389000
55,600,4,0.8,68.6,4.4973,-36210000
55,600,5,0.5,38.05,6.5243,-58560000
55,600,5,0.6,39.2,5.988,-55273000
55,600,5,0.7,40.5,5.5361,-52286000
55,600,5,0.8,41.85,5.1459,-49590000
55,600,6,0.5,25.85,7.0617,-73916000
55,600,6,0.6,26.35,6.5238,-70368000
55,600,6,0.7,27.05,6.0704,-66994000
55,600,6,0.8,27.85,5.6786,-63859000
55,600,7,0.5,18.4,7.5191,-90404000
55,600,7,0.6,18.9,6.98,-85943000
55,600,7,0.7,19.4,6.5253,-82019000
55,600,7,0.8,19.85,6.1323,-78604000
57.5,150,4,0.5,4.2,6.4116,-174730000
57.5,150,4,0.6,4.35,5.8281,-163690000
57.5,150,4,0.7,4.55,5.3369,-153160000
57.5,150,4,0.8,4.75,4.9126,-143820000
57.5,150,5,0.5,2.65,7.1276,-231930000
57.5,150,5,0.6,2.65,6.5416,-222190000
57.5,150,5,0.7,2.75,6.0486,-209740000
57.5,150,5,0.8,2.8,5.6216,-200380000
57.5,150,6,0.5,1.75,7.7156,-296950000
57.5,150,6,0.6,1.8,7.1281,-281430000
57.5,150,6,0.7,1.85,6.6323,-267770000
57.5,150,6,0.8,1.9,6.2038,-255540000
57.5,150,7,0.5,1.3,8.2127,-355460000
57.5,150,7,0.6,1.3,7.6246,-342490000
57.5,150,7,0.7,1.35,7.128,-324960000
57.5,150,7,0.8,1.35,6.6986,-315020000
57.5,175,4,0.5,5.7,6.4114,-149990000
57.5,175,4,0.6,5.95,5.8284,-139970000
57.5,175,4,0.7,6.2,5.337,-131210000
57.5,175,4,0.8,6.45,4.9129,-123430000
57.5,175,5,0.5,3.55,7.1287,-200400000
57.5,175,5,0.6,3.65,6.5425,-189340000
57.5,175,5,0.7,3.75,6.0485,-179610000
57.5,175,5,0.8,3.9,5.6222,-169800000
57.5,175,6,0.5,2.4,7.7153,-253560000
57.5,175,6,0.6,2.45,7.1282,-241220000
57.5,175,6,0.7,2.5,6.6326,-230350000
57.5,175,6,0.8,2.6,6.204,-218460000
57.5,175,7,0.5,1.7,8.2144,-310870000
57.5,175,7,0.6,1.75,7.6251,-295200000
57.5,175,7,0.7,1.8,7.1289,-281440000
57.5,175,7,0.8,1.85,6.6991,-269110000
57.5,200,4,0.5,7.55,6.4121,-130330000
57.5,200,4,0.6,7.85,5.8284,-121860000
57.5,200,4,0.7,8.1,5.3371,-114800000
57.5,200,4,0.8,8.4,4.9131,-108160000
57.5,200,5,0.5,4.6,7.1284,-176050000
57.5,200,5,0.6,4.8,6.5424,-165110000
57.5,200,5,0.7,4.9,6.0489,-157130000
57.5,200,5,0.8,5.15,5.6221,-147760000
57.5,200,6,0.5,3.15,7.7162,-221340000
57.5,200,6,0.6,3.25,7.1279,-209440000
57.5,200,6,0.7,3.3,6.6331,-200500000
57.5,200,6,0.8,3.4,6.2047,-191050000
57.5,200,7,0.5,2.25,8.2147,-270220000
57.5,200,7,0.6,2.3,7.6248,-257490000
57.5,200,7,0.7,2.35,7.1286,-246310000
57.5,200,7,0.8,2.4,6.6993,-236280000
57.5,225,4,0.5,9.45,6.4119,-116490000
57.5,225,4,0.6,9.8,5.8286,-109060000
57.5,225,4,0.7,10.2,5.3371,-102300000
57.5,225,4,0.8,10.65,4.9132,-96055000
57.5,225,5,0.5,5.8,7.1288,-156790000
57.5,225,5,0.6,6.05,6.5426,-147070000
57.5,225,5,0.7,6.25,6.049,-139130000
57.5,225,5,0.8,6.4,5.6224,-132550000
57.5,225,6,0.5,4,7.7162,-196420000
57.5,225,6,0.6,4.05,7.1287,-187630000
57.5,225,6,0.7,4.15,6.6329,-178790000
57.5,225,6,0.8,4.25,6.205,-170880000
57.5,225,7,0.5,2.85,8.2145,-240090000
57.5,225,7,0.6,2.95,7.626,-227380000
57.5,225,7,0.7,3,7.1286,-218000000
57.5,225,7,0.8,3.05,6.6995,-209600000
57.5,250,4,0.5,11.8,6.4124,-104250000
57.5,250,4,0.6,12.2,5.8288,-97752000
57.5,250,4,0.7,12.65,5.3374,-91862000
57.5,250,4,0.8,13.1,4.9134,-86611000
57.5,250,5,0.5,7.3,7.1288,-139750000
57.5,250,5,0.6,7.4,6.5429,-132980000
57.5,250,5,0.7,7.7,6.0492,-125350000
57.5,250,5,0.8,8,5.6225,-118560000
57.5,250,6,0.5,4.85,7.7161,-178380000
57.5,250,6,0.6,4.95,7.1286,-169710000
57.5,250,6,0.7,5.15,6.6334,-160500000
57.5,250,6,0.8,5.25,6.2048,-153740000
57.5,250,7,0.5,3.5,8.2153,-216670000
57.5,250,7,0.6,3.6,7.6257,-205830000
57.5,250,7,0.7,3.7,7.1293,-196310000
57.5,250,7,0.8,3.8,6.6996,-187780000
57.5,275,4,0.5,14.2,6.4125,-95035000
57.5,275,4,0.6,14.65,5.829,-89206000
57.5,275,4,0.7,15.2,5.3376,-83804000
57.5,275,4,0.8,15.9,4.9136,-78617000
57.5,275,5,0.5,8.7,7.1292,-128020000
57.5,275,5,0.6,9.1,6.5431,-119920000
57.5,275,5,0.7,9.3,6.0493,-114060000
57.5,275,5,0.8,9.65,5.6228,-107950000
57.5,275,6,0.5,5.95,7.7166,-161050000
57.5,275,6,0.6,6.1,7.1291,-152890000
57.5,275,6,0.7,6.25,6.6333,-145690000
57.5,275,6,0.8,6.4,6.2051,-139250000
57.5,275,7,0.5,4.25,8.2156,-196630000
57.5,275,7,0.6,4.4,7.6264,-186190000
57.5,275,7,0.7,4.45,7.1297,-179010000
57.5,275,7,0.8,4.55,6.7002,-171610000
57.5,300,4,0.5,17.05,6.4126,-86730000
57.5,300,4,0.6,17.5,5.8292,-81620000
57.5,300,4,0.7,18.2,5.3378,-76588000
57.5,300,4,0.8,19,4.9137,-71919000
57.5,300,5,0.5,10.5,7.1291,-116530000
57.5,300,5,0.6,10.75,6.5432,-110330000
57.5,300,5,0.7,11,6.0493,-104880000
57.5,300,5,0.8,11.3,5.6228,-99759000
57.5,300,6,0.5,7.1,7.7167,-147440000
57.5,300,6,0.6,7.25,7.1291,-140240000
57.5,300,6,0.7,7.35,6.6334,-134350000
57.5,300,6,0.8,7.6,6.2054,-127790000
57.5,300,7,0.5,5.1,8.2153,-179490000
57.5,300,7,0.6,5.2,7.6263,-171270000
57.5,300,7,0.7,5.3,7.1299,-164030000
57.5,300,7,0.8,5.4,6.7003,-157530000
57.5,325,4,0.5,19.85,6.4129,-80382000
57.5,325,4,0.6,20.6,5.8293,-75230000
57.5,325,4,0.7,21.35,5.338,-70714000
57.5,325,4,0.8,22.15,4.9139,-66610000
57.5,325,5,0.5,12.15,7.1295,-108330000
57.5,325,5,0.6,12.6,6.5434,-101910000
57.5,325,5,0.7,13,6.0496,-96473000
57.5,325,5,0.8,13.35,5.623,-91782000
57.5,325,6,0.5,8.25,7.7168,-136770000
57.5,325,6,0.6,8.5,7.1292,-129520000
57.5,325,6,0.7,8.65,6.6336,-123850000
57.5,325,6,0.8,8.9,6.2054,-118090000
57.5,325,7,0.5,5.9,8.216,-166890000
57.5,325,7,0.6,6.1,7.6267,-158130000
57.5,325,7,0.7,6.25,7.1301,-151050000
57.5,325,7,0.8,6.3,6.7004,-145850000
57.5,350,4,0.5,22.85,6.4129,-74921000
57.5,350,4,0.6,23.9,5.8295,-69845000
57.5,350,4,0.7,24.85,5.3381,-65546000
57.5,350,4,0.8,25.65,4.914,-61900000
57.5,350,5,0.5,14.25,7.1294,-100030000
57.5,350,5,0.6,14.65,6.5435,-94515000
57.5,350,5,0.7,14.95,6.0496,-89962000
57.5,350,5,0.8,15.6,5.6232,-84907000
57.5,350,6,0.5,9.6,7.7173,-126800000
57.5,350,6,0.6,9.9,7.1292,-120010000
57.5,350,6,0.7,10.1,6.6336,-114610000
57.5,350,6,0.8,10.3,6.2053,-109770000
57.5,350,7,0.5,6.95,8.2161,-153760000
57.5,350,7,0.6,7,7.6271,-147620000
57.5,350,7,0.7,7.25,7.1303,-140250000
57.5,350,7,0.8,7.4,6.7009,-134580000
57.5,375,4,0.5,26.45,6.4131,-69637000
57.5,375,4,0.6,27.3,5.8296,-65351000
57.5,375,4,0.7,28.5,5.3383,-61206000
57.5,375,4,0.8,29.5,4.9141,-57720000
57.5,375,5,0.5,16.45,7.1296,-93103000
57.5,375,5,0.6,16.8,6.5437,-88262000
57.5,375,5,0.7,17.2,6.0498,-83873000
57.5,375,5,0.8,17.8,5.6232,-79487000
57.5,375,6,0.5,11.1,7.7172,-117920000
57.5,375,6,0.6,11.25,7.1295,-112580000
57.5,375,6,0.7,11.55,6.6337,-107180000
57.5,375,6,0.8,11.9,6.2056,-102130000
57.5,375,7,0.5,7.9,8.2166,-144230000
57.5,375,7,0.6,8.1,7.6271,-137230000
57.5,375,7,0.7,8.25,7.1301,-131470000
57.5,375,7,0.8,8.5,6.701,-125570000
57.5,400,4,0.5,30.15,6.4133,-65225000
57.5,400,4,0.6,31.1,5.8298,-61230000
57.5,400,4,0.7,32.3,5.3384,-57494000
57.5,400,4,0.8,33.75,4.9142,-53964000
57.5,400,5,0.5,18.6,7.1298,-87558000
57.5,400,5,0.6,19.05,6.5438,-82886000
57.5,400,5,0.7,19.75,6.0499,-78272000
57.5,400,5,0.8,20.3,5.6233,-74433000
57.5,400,6,0.5,12.5,7.7173,-111120000
57.5,400,6,0.6,12.8,7.1296,-105550000
57.5,400,6,0.7,13.2,6.634,-100260000
57.5,400,6,0.8,13.6,6.2057,-95531000
57.5,400,7,0.5,9,8.2169,-135130000
57.5,400,7,0.6,9.2,7.6276,-128770000
57.5,400,7,0.7,9.55,7.1303,-122200000
57.5,400,7,0.8,9.6,6.7012,-118160000
57.5,425,4,0.5,33.85,6.4135,-61558000
57.5,425,4,0.6,35.25,5.8299,-57513000
57.5,425,4,0.7,36.45,5.3385,-54122000
57.5,425,4,0.8,38.05,4.9144,-50824000
57.5,425,5,0.5,20.8,7.13,-82800000
57.5,425,5,0.6,21.65,6.5439,-77751000
57.5,425,5,0.7,22.1,6.05,-73994000
57.5,425,5,0.8,22.9,5.6235,-70081000
57.5,425,6,0.5,14.05,7.7175,-104810000
57.5,425,6,0.6,14.55,7.1295,-98995000
57.5,425,6,0.7,14.85,6.6341,-94524000
57.5,425,6,0.8,15.3,6.2059,-90068000
57.5,425,7,0.5,10.1,8.2169,-127560000
57.5,425,7,0.6,10.45,7.6276,-120820000
57.5,425,7,0.7,10.6,7.1307,-115990000
57.5,425,7,0.8,10.8,6.7013,-111400000
57.5,450,4,0.5,38.05,6.4136,-58061000
57.5,450,4,0.6,39.6,5.8301,-54263000
57.5,450,4,0.7,40.9,5.3386,-51094000
57.5,450,4,0.8,42.65,4.9146,-48006000
57.5,450,5,0.5,23.45,7.1302,-77982000
57.5,450,5,0.6,24.15,6.544,-73617000
57.5,450,5,0.7,24.8,6.0502,-69851000
57.5,450,5,0.8,25.65,5.6237,-66219000
57.5,450,6,0.5,15.75,7.7177,-98997000
57.5,450,6,0.6,16.3,7.1298,-93532000
57.5,450,6,0.7,16.8,6.634,-88869000
57.5,450,6,0.8,17.25,6.2059,-84825000
57.5,450,7,0.5,11.45,8.2171,-119800000
57.5,450,7,0.6,11.75,7.6278,-113940000
57.5,450,7,0.7,11.9,7.1309,-109470000
57.5,450,7,0.8,12.25,6.7015,-104600000
57.5,475,4,0.5,42.45,6.4137,-54971000
57.5,475,4,0.6,43.8,5.8303,-51597000
57.5,475,4,0.7,45.45,5.3388,-48470000
57.5,475,4,0.8,47.2,4.9147,-45635000
57.5,475,5,0.5,26.2,7.1302,-73776000
57.5,475,5,0.6,27.05,6.5441,-69560000
57.5,475,5,0.7,27.7,6.0503,-66094000
57.5,475,5,0.8,28.6,5.6237,-62711000
57.5,475,6,0.5,17.65,7.7179,-93517000
57.5,475,6,0.6,18.1,7.13,-88761000
57.5,475,6,0.7,18.5,6.6342,-84688000
57.5,475,6,0.8,19.15,6.206,-80507000
57.5,475,7,0.5,12.75,8.2173,-113530000
57.5,475,7,0.6,13.1,7.628,-107920000
57.5,475,7,0.7,13.2,7.1311,-103950000
57.5,475,7,0.8,13.65,6.7016,-99092000
57.5,500,4,0.5,46.7,6.4139,-52410000
57.5,500,4,0.6,48.65,5.8305,-48958000
57.5,500,4,0.7,50.55,5.339,-45960000
57.5,500,4,0.8,52.6,4.9149,-43229000
57.5,500,5,0.5,28.85,7.1304,-70307000
57.5,500,5,0.6,29.95,6.5443,-66107000
57.5,500,5,0.7,30.6,6.0504,-62885000
57.5,500,5,0.8,31.55,5.6239,-59708000
57.5,500,6,0.5,19.45,7.7179,-89085000
57.5,500,6,0.6,20.2,7.1299,-84020000
57.5,500,6,0.7,20.5,6.6342,-80451000
57.5,500,6,0.8,21.05,6.2062,-76789000
57.5,500,7,0.5,14.1,8.2174,-107960000
57.5,500,7,0.6,14.5,7.6282,-102580000
57.5,500,7,0.7,14.8,7.1314,-98168000
57.5,500,7,0.8,15.15,6.7019,-94061000
57.5,525,4,0.5,51.9,6.4139,-49716000
