element,n,log10_mae,log10_rmse,mape_percent,smape_percent,median_factor_error,p90_factor_error,p99_factor_error,max_factor_error
overall,74975,0.03954282738025519,0.11049441060467373,17.87779813722734,8.448567293422709,1.035207251731284,1.1968518671106314,2.785548118718256,2803.151913309063
Z_13,25000,0.05571624201503172,0.16643950802666557,24.67446425393954,11.153327477737754,1.0414739372636401,1.2172501245232696,10.4492427682379,54.92571544335144
Z_4,25000,0.029915726302006278,0.045775414983559054,6.983331266008892,6.8657131060922385,1.0384875258511634,1.1813247045232864,1.4439103978691914,2.151102228439351
Z_79,24975,0.03298996095730463,0.08260848032613904,21.979700794390762,7.325538267412127,1.0250113516333383,1.197873085112032,2.060587542643492,2803.151913309063
