4|-1.87|1.771|1.755
4|-1.87|1.771|1.81
4|-1.87|1.771|1.866
4|-1.87|1.771|1.921
4|-1.87|1.771|1.977
4|-1.87|1.771|2.032
4|-1.87|1.771|2.088
4|-1.87|1.771|2.143
4|-1.87|1.771|2.199
4|-1.87|1.771|2.255
4|-1.87|1.771|2.31
4|-1.87|1.771|2.366
4|-1.87|1.771|2.421
4|-1.87|1.771|2.477
4|-1.87|1.771|2.532
4|-1.87|1.771|2.588
4|-1.87|1.771|2.644
4|-1.87|1.771|2.699
4|-1.87|1.771|2.755
4|-1.87|1.771|2.81
4|-1.87|1.771|2.866
4|-1.87|1.771|2.921
4|-1.87|1.771|2.977
4|-1.87|1.771|3.032
4|-1.87|1.771|3.088
4|-1.87|1.771|3.144
4|-1.87|1.771|3.199
4|-1.87|1.771|3.255
4|-1.87|1.771|3.31
4|-1.87|1.771|3.366
4|-1.87|1.771|3.421
4|-1.87|1.771|3.477
4|-1.87|1.771|3.533
4|-1.87|1.771|3.588
4|-1.87|1.771|3.644
4|-1.87|1.771|3.699
4|-1.87|1.771|3.755
4|-1.87|1.771|3.81
4|-1.87|1.771|3.866
4|-1.87|1.771|3.921
4|-1.87|1.771|3.977
4|-1.87|1.771|4.033
4|-1.87|1.771|4.088
4|-1.87|1.771|4.144
4|-1.87|1.771|4.199
4|-1.87|1.771|4.255
4|-1.87|1.771|4.31
4|-1.87|1.771|4.366
4|-1.87|1.771|4.422
4|-1.87|1.771|4.477
4|-1.87|1.843|1.755
4|-1.87|1.843|1.81
4|-1.87|1.843|1.866
4|-1.87|1.843|1.921
4|-1.87|1.843|1.977
4|-1.87|1.843|2.032
4|-1.87|1.843|2.088
4|-1.87|1.843|2.143
4|-1.87|1.843|2.199
4|-1.87|1.843|2.255
4|-1.87|1.843|2.31
4|-1.87|1.843|2.366
4|-1.87|1.843|2.421
4|-1.87|1.843|2.477
4|-1.87|1.843|2.532
4|-1.87|1.843|2.588
4|-1.87|1.843|2.644
4|-1.87|1.843|2.699
4|-1.87|1.843|2.755
4|-1.87|1.843|2.81
4|-1.87|1.843|2.866
4|-1.87|1.843|2.921
4|-1.87|1.843|2.977
4|-1.87|1.843|3.032
4|-1.87|1.843|3.088
4|-1.87|1.843|3.144
4|-1.87|1.843|3.199
4|-1.87|1.843|3.255
4|-1.87|1.843|3.31
4|-1.87|1.843|3.366
4|-1.87|1.843|3.421
4|-1.87|1.843|3.477
4|-1.87|1.843|3.533
4|-1.87|1.843|3.588
4|-1.87|1.843|3.644
4|-1.87|1.843|3.699
4|-1.87|1.843|3.755
4|-1.87|1.843|3.81
4|-1.87|1.843|3.866
4|-1.87|1.843|3.921
4|-1.87|1.843|3.977
4|-1.87|1.843|4.033
4|-1.87|1.843|4.088
4|-1.87|1.843|4.144
4|-1.87|1.843|4.199
4|-1.87|1.843|4.255
4|-1.87|1.843|4.31
4|-1.87|1.843|4.366
4|-1.87|1.843|4.422
4|-1.87|1.843|4.477
4|-1.87|1.915|1.755
4|-1.87|1.915|1.81
4|-1.87|1.915|1.866
4|-1.87|1.915|1.921
4|-1.87|1.915|1.977
4|-1.87|1.915|2.032
4|-1.87|1.915|2.088
4|-1.87|1.915|2.143
4|-1.87|1.915|2.199
4|-1.87|1.915|2.255
4|-1.87|1.915|2.31
4|-1.87|1.915|2.366
4|-1.87|1.915|2.421
4|-1.87|1.915|2.477
4|-1.87|1.915|2.532
4|-1.87|1.915|2.588
4|-1.87|1.915|2.644
4|-1.87|1.915|2.699
4|-1.87|1.915|2.755
4|-1.87|1.915|2.81
4|-1.87|1.915|2.866
4|-1.87|1.915|2.921
4|-1.87|1.915|2.977
4|-1.87|1.915|3.032
4|-1.87|1.915|3.088
4|-1.87|1.915|3.144
4|-1.87|1.915|3.199
4|-1.87|1.915|3.255
4|-1.87|1.915|3.31
4|-1.87|1.915|3.366
4|-1.87|1.915|3.421
4|-1.87|1.915|3.477
4|-1.87|1.915|3.533
4|-1.87|1.915|3.588
4|-1.87|1.915|3.644
4|-1.87|1.915|3.699
4|-1.87|1.915|3.755
4|-1.87|1.915|3.81
4|-1.87|1.915|3.866
4|-1.87|1.915|3.921
4|-1.87|1.915|3.977
4|-1.87|1.915|4.033
4|-1.87|1.915|4.088
4|-1.87|1.915|4.144
4|-1.87|1.915|4.199
4|-1.87|1.915|4.255
4|-1.87|1.915|4.31
4|-1.87|1.915|4.366
4|-1.87|1.915|4.422
4|-1.87|1.915|4.477
4|-1.87|1.987|1.755
4|-1.87|1.987|1.81
4|-1.87|1.987|1.866
4|-1.87|1.987|1.921
4|-1.87|1.987|1.977
4|-1.87|1.987|2.032
4|-1.87|1.987|2.088
4|-1.87|1.987|2.143
4|-1.87|1.987|2.199
4|-1.87|1.987|2.255
4|-1.87|1.987|2.31
4|-1.87|1.987|2.366
4|-1.87|1.987|2.421
4|-1.87|1.987|2.477
4|-1.87|1.987|2.532
4|-1.87|1.987|2.588
4|-1.87|1.987|2.644
4|-1.87|1.987|2.699
4|-1.87|1.987|2.755
4|-1.87|1.987|2.81
4|-1.87|1.987|2.866
4|-1.87|1.987|2.921
4|-1.87|1.987|2.977
4|-1.87|1.987|3.032
4|-1.87|1.987|3.088
4|-1.87|1.987|3.144
4|-1.87|1.987|3.199
4|-1.87|1.987|3.255
4|-1.87|1.987|3.31
4|-1.87|1.987|3.366
4|-1.87|1.987|3.421
4|-1.87|1.987|3.477
4|-1.87|1.987|3.533
4|-1.87|1.987|3.588
4|-1.87|1.987|3.644
4|-1.87|1.987|3.699
4|-1.87|1.987|3.755
4|-1.87|1.987|3.81
4|-1.87|1.987|3.866
