model,E_MAE,E_RMSE,E_MAPE_percent,v_MAE,v_MAPE_percent
LightGBM,0.11221769564138342,0.1944055268044649,7.450593061877213,1123469.9899418994,3.5292285916994475
RandomForest,0.11609960225197753,0.20122704426378357,6.845636462791474,1025089.177497869,3.210107036614201
XGBoost,0.12093427352276939,0.21223752971267154,7.959911050681715,1226532.3391481694,3.745771883358437
CatBoost,0.15611453750556503,0.26421019080001146,10.453712741039608,1545716.4629173994,4.9295518888627035
KNN,0.1633456558088555,0.2893011226856063,10.55211633514554,1687063.6849687556,4.9202831964271
MLP,0.25017119830795304,0.4101273598927448,16.720171137558168,2670287.852433926,7.575568749627669
Poly2Ridge,0.43885467168147413,0.623487292027842,25.027135384122563,4338733.131696944,11.6801701584489
PowerLaw,0.6575656248953663,0.9562419521563787,32.54373246546891,5554168.292364925,15.037624144018805
