model,E_MAE,E_RMSE,E_MAPE_percent,v_MAE,v_MAPE_percent
RandomForest,0.00016052351986952079,0.000251265834670821,0.0031456881732297346,2939.7335175800545,0.0019307851865819463
LightGBM,0.0008091174536706982,0.0015190026383421276,0.015915787210305805,10185.113496195643,0.0080521382545697
XGBoost,0.00038500358352599545,0.0005172308757666639,0.008216017412218035,5275.710046990328,0.004271307225547059
CatBoost,0.0026854840798070296,0.0035580527282433557,0.0568095337643082,33260.971431111975,0.028493419082094133
