model,E_MAE,E_RMSE,E_MAPE_percent,v_MAE,v_MAPE_percent
RandomForest,0.021079199978301818,0.04885258663195482,0.34887492882573695,145811.18782397307,0.17530555481669655
LightGBM,0.04337181027789808,0.056518638340773975,0.8897294729460125,510097.00565209525,0.44495568467799135
XGBoost,0.044826579726230886,0.06342519498485538,0.8971432979389995,597202.3425635231,0.4486268612650244
CatBoost,0.05378135641895246,0.07210860798685609,1.0832016497295147,626694.9519395875,0.541020027149779
