model,E_MAE,E_RMSE,E_MAPE_percent,v_MAE,v_MAPE_percent
RandomForest,0.14841741996327693,0.2393069728343945,9.419413776276542,1351880.6987102262,4.36707213283147
LightGBM,0.1425474773492226,0.24371895238268113,10.322889891479774,1407934.1005662533,4.831353505168029
XGBoost,0.15099402517616653,0.259344384153204,10.915664528507842,1496430.0234519069,5.086321660682544
CatBoost,0.19780878615820474,0.32226018113261157,14.021558306524817,1932362.3974016572,6.535777587575414
