model,E_MAE,E_RMSE,E_MAPE_percent,v_MAE,v_MAPE_percent
PowerLaw,0.008344458947437945,0.008714852581214733,0.16455599896694312,94615.86719671008,0.08219895731786853
Poly2Ridge,0.0018811677819467207,0.002217920854824693,0.03765246227853313,21626.573526895332,0.01886291821925062
KNN,0.11262217747338109,0.17555102629806285,2.306659182825596,1459130.222254482,1.1495461532189946
MLP,0.05573233549001019,0.0706124600370087,1.1757497072583298,703505.2112228874,0.5879969618330442
